Name,Team,Time,Odds 1+ hits,Odds of Hit
Byron Buxton,MIN,7:40 PM ET,67.96,-180
Xander Bogaerts,SD,9:40 PM ET,67.84,-174
Willy Adames,SF,10:15 PM ET,67.41,-220
Brooks Lee,MIN,7:40 PM ET,67.28,-140
Tyler Fitzgerald,SF,10:15 PM ET,67.17,-140
Gio Urshela,ATH,10:05 PM ET,67.13,-135
Kyle Stowers,MIA,9:40 PM ET,66.81,-105
Gabriel Moreno,ARI,9:40 PM ET,66.73,-135
Nick Kurtz,ATH,10:05 PM ET,66.67,-135
JJ Bleday,ATH,10:05 PM ET,66.6,-135
James Wood,WSH,6:45 PM ET,66.56,-125
Marcus Semien,TEX,10:15 PM ET,66.29,-120
Nathaniel Lowe,WSH,6:45 PM ET,66.27,-140
Luke Raley,SEA,9:40 PM ET,65.91,-105
Jonathan India,KC,7:40 PM ET,65.9,-160
Jose Tena,WSH,6:45 PM ET,65.79,-140
Jordan Westburg,BAL,6:40 PM ET,65.76,-125
Nick Castellanos,PHI,2:20 PM ET,65.73,-214
Brooks Baldwin,CWS,10:05 PM ET,65.6,-135
Zach Neto,LAA,7:40 PM ET,65.42,-115
Mike Yastrzemski,SF,10:15 PM ET,65.31,-195
Heliot Ramos,SF,10:15 PM ET,65.23,-210
Oswaldo Cabrera,NYY,7:05 PM ET,65.03,-120
Jo Adell,LAA,7:40 PM ET,65.0,-115
Anthony Volpe,NYY,7:05 PM ET,64.95,-195
Connor Norby,MIA,9:40 PM ET,64.69,-105
Dane Myers,MIA,9:40 PM ET,64.37,-105
Junior Caminero,TB,9:40 PM ET,64.19,-160
Victor Scott,STL,8:15 PM ET,63.55,100
Josh Jung,TEX,10:15 PM ET,63.23,-120
Jeimer Candelario,CIN,8:40 PM ET,62.9,-130
Carlos Correa,MIN,7:40 PM ET,62.85,-205
Will Smith,LAD,10:10 PM ET,62.42,-150
Cody Bellinger,NYY,7:05 PM ET,62.13,-175
Brendan Rodgers,HOU,7:40 PM ET,62.09,-200
Jazz Chisholm,NYY,7:05 PM ET,61.93,-220
Colt Keith,DET,6:40 PM ET,61.83,-165
Michael Massey,KC,7:40 PM ET,61.68,-155
Josh Bell,WSH,6:45 PM ET,61.67,-137
Liam Hicks,MIA,9:40 PM ET,61.63,-105
Xavier Edwards,MIA,9:40 PM ET,61.53,-105
Otto Lopez,MIA,9:40 PM ET,61.52,-105
Tommy Edman,LAD,10:10 PM ET,61.39,-165
Jordan Beck,COL,8:40 PM ET,61.28,-105
Taylor Ward,LAA,7:40 PM ET,60.62,-115
Jake Meyers,HOU,7:40 PM ET,60.46,-155
Nolan Schanuel,LAA,7:40 PM ET,60.43,-115
Triston Casas,BOS,7:10 PM ET,60.31,-117
Garrett Mitchell,MIL,8:15 PM ET,60.3,100
Andres Gimenez,TOR,7:05 PM ET,60.15,-190
Matt Mervis,MIA,9:40 PM ET,60.02,-105
Jacob Young,WSH,6:45 PM ET,59.88,-140
Andy Pages,LAD,10:10 PM ET,59.82,-120
Geraldo Perdomo,ARI,9:40 PM ET,59.79,-135
Bo Bichette,TOR,7:05 PM ET,59.78,160
Miguel Vargas,CWS,10:05 PM ET,59.57,-135
Joshua Palacios,CWS,10:05 PM ET,59.43,-135
Vinnie Pasquantino,KC,7:40 PM ET,59.11,-180
Brayan Rocchio,CLE,7:10 PM ET,58.42,-155
Christopher Morel,TB,9:40 PM ET,57.9,-110
Austin Riley,ATL,9:40 PM ET,57.51,185
Ryan O'Hearn,BAL,6:40 PM ET,57.31,-125
Wilyer Abreu,BOS,7:10 PM ET,57.21,-165
Edouard Julien,MIN,7:40 PM ET,56.59,-154
Kameron Misner,TB,9:40 PM ET,56.19,-120
Anthony Santander,TOR,7:05 PM ET,55.82,-190
Jesse Winker,NYM,6:45 PM ET,55.68,-130
Enmanuel Valdez,PIT,10:10 PM ET,55.63,-120
Alejandro Kirk,TOR,7:05 PM ET,55.45,-190
Luis Robert,CWS,10:05 PM ET,55.12,-135
Yandy Diaz,TB,9:40 PM ET,54.71,200
Manny Machado,SD,9:40 PM ET,54.56,-220
Tyler Wade,SD,9:40 PM ET,54.3,-115
Ben Rice,NYY,7:05 PM ET,53.52,-155
Nick Allen,ATL,9:40 PM ET,53.47,-135
Adley Rutschman,BAL,6:40 PM ET,52.9,-125
Mike Trout,LAA,7:40 PM ET,52.73,-115
Matt Chapman,SF,10:15 PM ET,52.65,-190
Kyle Isbel,KC,7:40 PM ET,52.22,-115
Jesus Sanchez,MIA,9:40 PM ET,52.21,-105
Lars Nootbaar,STL,8:15 PM ET,51.95,-155
Hunter Goodman,COL,8:40 PM ET,51.57,-125
Heston Kjerstad,BAL,6:40 PM ET,51.41,-125
Jackson Holliday,BAL,6:40 PM ET,51.31,-125
Jon Berti,CHC,2:20 PM ET,50.01,-125
Randal Grichuk,ARI,9:40 PM ET,50.0,130
Jacob Stallings,COL,8:40 PM ET,49.56,-120
Brandon Lowe,TB,9:40 PM ET,48.58,145
Aaron Schunk,COL,8:40 PM ET,48.4,-120
Max Muncy,LAD,10:10 PM ET,47.68,115
Michael Conforto,LAD,10:10 PM ET,47.47,140
Joey Ortiz,MIL,8:15 PM ET,46.59,100
Ryan Mountcastle,BAL,6:40 PM ET,46.12,-105
Gunnar Henderson,BAL,6:40 PM ET,45.92,-105
Ty France,MIN,7:40 PM ET,45.78,135
Miles Mastrobuoni,SEA,9:40 PM ET,44.23,-120
Carson Kelly,CHC,2:20 PM ET,43.62,-105
Martin Maldonado,SD,9:40 PM ET,43.04,-175
Rafael Devers,BOS,7:10 PM ET,42.54,130
Leody Taveras,TEX,10:15 PM ET,41.04,130
Jonathan Aranda,TB,9:40 PM ET,40.93,143
Patrick Bailey,SF,10:15 PM ET,40.66,140
Ozzie Albies,ATL,9:40 PM ET,40.24,-225
Fernando Tatis,SD,9:40 PM ET,40.01,-235
Ben Rortvedt,TB,9:40 PM ET,39.3,115
Tyler O'Neill,BAL,6:40 PM ET,38.55,-105
Joc Pederson,TEX,10:15 PM ET,35.49,130
Jordan Walker,STL,8:15 PM ET,33.61,130
Mookie Betts,LAD,10:10 PM ET,33.2,-254
Michael Toglia,COL,8:40 PM ET,32.47,-120
Taylor Walls,TB,9:40 PM ET,31.79,110
Carlos Santana,CLE,7:10 PM ET,31.61,120
Sean Bouchard,COL,8:40 PM ET,30.42,-120
Jake Burger,TEX,10:15 PM ET,30.01,130
Luis Rengifo,LAA,7:40 PM ET,28.79,105
LaMonte Wade,SF,10:15 PM ET,26.5,185
Freddie Freeman,LAD,10:10 PM ET,2.07,-250
Shohei Ohtani,LAD,10:10 PM ET,0.0,-260
Brenton Doyle,COL,8:40 PM ET,0.0,105
Ryan McMahon,COL,8:40 PM ET,0.0,-110
Jace Jung,DET,6:40 PM ET,0.0,140
Alan Roden,TOR,7:05 PM ET,0.0,125
Kyren Paris,LAA,7:40 PM ET,0.0,105
Harrison Bader,MIN,7:40 PM ET,0.0,100
Kyle Farmer,COL,8:40 PM ET,0.0,140
Tirso Ornelas,SD,9:40 PM ET,0.0,130
Jacob Amaya,CWS,10:05 PM ET,0.0,130
